Process Time: 71.05984783172607
cost_init,cost_final,confilct_init,conflict_final
528.5 95.30000000000011 154 0
gapx, gapy = 20,8
minX, maxX = -20,500
minY, maxY = -20,500
284.349 120.378 2
78.7129 100.399 4
352.974 226.605 4
297.929 289.33 4
336.291 362.826 3
191.361 300.399 3
350.079 203.728 4
15.3953 198.121 4
335.8 142.829 3
36.4955 123.067 4
116.123 61.4719 4
88.4955 429.157 4
331.398 57.8163 3
71.9213 345.52 3
98.6908 196.346 4
183.679 322.934 4
177.645 279.096 4
212.993 124.406 4
290.485 350.707 3
308.658 226.7 4
287.488 80.989 4
383.079 39.7323 3
230.954 227.49 4
51.9454 34.6121 4
180.485 112.86 3
389.922 155.427 4
20.6089 270.386 4
122.816 176.611 4
212.982 427.685 4
434.066 318.551 4
134.299 350.775 4
100.001 99.7449 4
301.05 334.875 4
71.9947 300.754 4
197.322 289.248 4
316.791 349.439 4
75.053 240.456 4
133.645 414.581 4
393.849 236.771 1
236.907 154.717 4
117.362 252.591 3
279.544 71.7386 4
421.013 259.208 4
20.7591 155.975 4
336.007 30.8609 4
300.699 167.819 4
294.928 15.0971 4
313.305 28.8661 4
407.113 405.9 3
64.1827 331.053 4
67.9685 381.329 4
434.696 277.988 4
169.648 442.59 4
157.665 11.8625 4
398.465 139.386 4
179.972 169.732 3
345.837 262.689 4
288.388 422.633 4
371.44 260.296 4
212.002 64.6929 4
430.059 108.711 4
69.031 52.2866 3
234.505 208.368 3
267.411 16.9512 1
297.656 111.206 2
340.02 359.321 4
101.339 284.226 4
30.231 398.121 4
244.33 0.64147 4
345.354 398.464 4
107.289 361.229 3
101.584 318.51 4
197.559 175.749 2
338.884 323.628 3
154.813 193.644 4
315.044 83.5842 4
252.316 242.15 4
398.069 109.188 4
356.903 238.408 4
210.211 165.938 4
54.0829 224.257 4
268.836 331.751 4
205.638 269.119 4
77.6178 343.147 4
237.453 399.57 2
437.895 423.848 4
254.298 269.126 4
441.552 211.357 4
117.767 144.988 3
358.309 372.464 4
56.0945 436.256 4
29.7942 109.077 4
207.973 297.576 4
181.891 39.7123 3
64.9995 16.5554 3
68.9785 10.905 4
233.476 52.6961 4
139.417 27.053 4
381.565 333.319 4
118.94 254.786 4
133.363 187.912 4
404.808 45.7921 3
284.703 297.437 4
252.556 27.7879 3
352.576 384.718 4
442.584 195.487 4
249.177 188.674 4
131.856 52.8189 4
94.4735 269.294 4
424.859 186.289 4
120.146 219.576 4
315.125 435.804 4
67.3543 210.252 4
318.099 280.759 4
188.402 382.953 4
295.458 375.437 3
239.845 84.6698 4
98.2541 201.312 3
193.383 113.856 4
246.034 206.897 4
178.547 140.368 4
234.186 387.325 4
252.653 414.651 4
375.752 267.315 2
14.0304 213.748 4
76.3213 445.578 4
227.367 432.828 2
297.757 243.636 4
380.93 17.39 4
40.9638 304.48 4
222.394 329.634 4
220.898 39.3071 4
359.905 54.7863 2
99.9664 74.506 4
359.824 423.331 4
133.712 44.0976 4
11.6693 303.513 4
402.106 34.4231 4
365.624 59.5202 4
359.574 188.703 4
396.647 173.39 4
20.1585 1.41942 4
369.978 443.599 4
425.387 286.15 4
348.373 149.342 4
204.219 369.951 4
433.967 83.4751 4
37.4236 260.614 4
128.399 355.021 3
283.104 297.385 3
119.156 227.424 3
182.898 426.963 4
262.184 426.839 4
50.3622 239.011 3
58.21 383.135 1
77.5727 363.565 3
87.1202 166.946 4
192.988 150.65 4
357.749 375.983 3
94.5879 286.328 3
388.76 309.871 4
433.239 202.527 3
239.929 101.245 4
130.86 150.502 4
268.039 196.781 4
386.137 231.436 4
226.062 342.081 4
46.7202 312.491 4
313.432 99.4572 3
148.084 405.436 4
443.658 21.3207 4
49.1192 279.326 4
415.525 112.052 2
269.415 67.9958 3
68.3076 73.2525 4
332.773 100.535 4
296.25 110.076 4
49.2672 384.568 3
437.815 8.34121 4
67.2451 166.184 3
50.7968 146.298 4
286.871 85.2903 3
145.701 305.574 4
155.932 180.303 4
22.6835 374.792 4
200.88 249.696 4
264.703 114.564 3
5.30919 25.3176 4
366.566 163.602 4
364.75 92.0735 3
295.567 357.888 4
236.448 368.888 4
171.633 312.737 2
50.5963 156.3 4
49.4173 228.008 3
121.756 255.005 1
146.632 0.491339 4
440.361 144.781 4
204.028 303.743 2
225.729 270.141 4
342.504 228.868 2
119.641 130.0 4
230.683 137.659 4
40.0714 250.323 4
46.0409 37.1234 3
277.988 310.553 4
427.323 162.28 4
319.261 414.335 1
370.442 84.3601 4
84.7286 21.1276 4
28.2929 321.84 4
50.4283 239.623 4
74.9701 54.3632 4
419.369 375.328 3
307.477 408.125 4
229.313 387.013 3
28.2635 100.779 4
250.694 9.04882 4
48.2415 424.175 4
339.433 323.697 4
54.4651 442.425 3
120.26 239.147 4
289.289 140.416 4
37.8824 419.168 3
138.726 334.795 3
162.783 363.659 4
193.669 49.9685 4
413.666 300.071 4
343.652 47.9076 4
386.11 250.665 3
169.568 161.202 4
35.5244 251.442 3
387.862 195.607 4
407.811 411.075 4
241.356 390.766 2
110.573 112.366 4
127.666 445.073 4
35.9339 59.4541 3
419.835 47.4688 4
438.831 136.729 4
348.031 404.783 2
1.05092 60.0388 3
374.668 9.28294 4
22.6163 113.731 3
190.134 174.236 4
385.63 220.147 4
330.029 373.308 3
249.341 174.113 4
273.607 408.072 4
441.316 310.376 4
145.354 403.377 3
171.013 281.032 3
187.364 35.7879 4
422.169 375.833 4
258.117 254.09 4
33.1528 134.956 4
8.50289 375.41 3
175.585 246.094 4
83.0362 252.223 3
320.257 217.979 4
155.686 340.88 4
425.636 127.025 4
