Process Time: 296.82334995269775
cost_init,cost_final,confilct_init,conflict_final
3396.5 1107.9999999999977 988 214
gapx, gapy = 20,8
minX, maxX = -20,500
minY, maxY = -20,500
322.201 325.351 2
1134.52 307.874 4
225.231 745.888 2
619.359 874.764 2
1015.7 389.699 2
459.351 894.95 4
297.546 628.731 3
980.688 497.399 4
282.055 203.824 2
726.762 248.759 3
292.832 409.882 1
503.391 1141.91 2
702.464 788.931 2
684.501 876.498 4
979.556 701.761 3
347.089 561.33 4
253.309 631.186 2
267.874 720.972 4
830.999 1041.25 4
343.514 660.796 1
333.908 1116.5 3
454.028 12.2052 1
355.431 824.933 4
677.026 260.098 3
294.152 554.597 2
698.728 1169.53 2
573.282 474.469 4
79.0185 891.972 3
153.813 1090.32 3
303.179 368.919 1
1014.4 1166.66 1
738.016 725.939 1
753.146 281.172 3
14.4801 378.85 4
161.628 40.6434 1
940.629 324.757 1
87.5984 415.357 1
188.025 986.38 1
675.772 651.135 3
983.498 139.874 4
250.828 73.0505 2
42.7466 32.499 2
133.065 1036.02 2
147.401 353.625 3
1032.46 1118.09 3
364.675 331.726 3
231.79 580.035 2
962.512 775.329 4
719.128 179.286 4
656.789 50.1568 4
839.738 1170.06 4
1049.46 585.271 4
305.681 455.006 4
339.434 920.463 4
677.784 1010.92 4
865.361 705.445 2
371.412 788.064 1
958.658 882.259 1
130.367 473.763 1
389.478 1165.04 3
694.463 378.705 2
25.4214 1113.85 4
265.661 764.974 1
990.497 980.514 2
1009.99 883.306 4
435.775 1143.28 3
209.835 148.412 1
1121.1 402.301 4
308.176 438.178 3
925.607 1036.9 4
47.8096 840.855 2
887.692 625.661 3
341.632 50.3373 3
1041.04 159.048 1
876.446 758.96 1
439.804 145.579 2
270.138 130.16 4
975.042 530.403 4
970.211 226.987 4
462.929 955.181 4
165.384 296.427 2
28.6888 694.956 1
462.569 1056.56 4
215.541 799.206 2
213.185 389.916 3
1009.78 886.897 1
1113.7 228.143 1
464.88 424.112 4
673.56 815.58 4
933.172 773.64 2
1152.9 1092.44 2
191.294 64.1313 3
476.081 492.127 3
976.532 32.1576 3
657.166 272.65 4
335.219 683.851 4
378.613 39.4321 2
856.43 973.076 4
146.493 36.8322 3
997.502 1002.2 4
1050.37 578.321 4
47.2636 133.246 2
627.88 295.724 3
310.628 889.57 1
546.777 966.973 3
638.907 707.067 3
898.272 658.285 2
186.833 8.26919 4
772.214 625.336 4
125.016 125.121 4
7.87198 96.975 4
767.847 200.155 3
222.763 874.439 3
69.2951 570.863 3
1052.35 24.1412 3
781.348 301.049 3
15.0218 130.521 3
412.728 207.452 2
949.255 979.375 1
1112.37 508.593 3
881.084 55.0874 3
677.604 419.056 1
