Aberdeen,SD*98.43*45.45 
Abilene,TX*99.68*32.42 
Adak,AK*176.65*51.88 
Ainsworth,NE*99.98*42.58 
Air Force A,CO*105.35*39.52 
Akron,CO*103.22*40.17 
Alameda NAS,CA*122.32*37.78 
Alamosa,CO*105.87*37.45 
Albany,GA*84.18*31.53 
Albany,NY*73.80*42.75 
Albert Lea,MN*93.37*43.68 
Albuquerque,NM*106.60*35.05 
Alexandria,LA*92.30*31.38 
Alexandria,MN*95.38*45.87 
Alice,TX*98.03*27.73 
Allentown,PA*75.43*40.65 
Alliance,NE*102.80*42.05 
Alma,GA*82.52*31.53 
Alpena,MI*83.57*45.07 
Alton,IL*90.05*38.88 
Altoona,PA*78.32*40.30 
Alturas,CA*120.53*41.48 
Altus AFB,OK*99.27*34.67 
Amarillo,TX*101.70*35.23 
Ambler,AK*157.85*67.10 
Ambrose,NY*74.37*40.75 
Anchorage,AK*149.85*61.22 
Anderson,SC*82.72*34.50 
Andrews AFB,MD*76.87*38.82 
Angoon,AK*134.97*57.83 
Aniak,AK*159.53*61.58 
Ann Arbor,MI*83.75*42.22 
Annette Isl,AK*131.57*55.03 
Anniston,AL*85.85*33.58 
Apalachicola,FL*85.03*29.73 
Appleton,WI*88.52*44.25 
Arcata,CA*124.10*40.98 
Ardmore,OK*97.02*34.30 
Asheville,NC*82.55*35.43 
Aspen,CO*106.87*39.22 
Astor NAS,FL*81.57*29.12 
Astoria,OR*123.88*46.15 
Athens,GA*83.32*33.95 
Athens/Albany,OH*82.23*39.21 
Atlanta,GA*84.42*33.65 
Atlanta/Dklb,GA*84.30*33.88 
Atlanta/Fltn,GA*84.52*33.78 
Atlantic Cty,NJ*74.57*39.45 
Attu,AK*173.30*53.50 
Auburn,AL*85.44*32.67 
Augusta,ME*69.80*44.32 
Augusta/Bush,GA*81.97*33.37 
Aurora,IL*88.32*41.77 
Aurora,OR*122.75*45.25 
Austin,NV*117.08*39.50 
Austin,TX*97.70*30.30 
Avon Park G,FL*81.55*28.08 
Bakalar Af,IN*86.50*39.38 
Baker,OR*117.82*44.83 
Bakersfield,CA*119.05*35.43 
Baltimore,MD*76.67*39.18 
Bangor,ME*68.82*44.80 
Bar Harbor,ME*68.37*44.45 
Barbers Pt,HI*158.12*21.53 
Barking San,HI*160.30*22.05 
Barksdale,LA*93.67*32.50 
Barnegat Ls,NJ*74.28*40.28 
Barrow,AK*156.78*71.30 
Barter Islan,AK*143.63*70.13 
Bartlesville,OK*96.00*36.75 
Baton Rouge,LA*91.15*30.53 
Battle Creek,MI*85.23*42.30 
Battle Mtn,NV*116.87*40.62 
Beale AFB,CA*121.45*39.13 
Beatrice,NE*96.75*40.32 
Beaufort Mca,SC*80.72*32.48 
Beaumont,CA*116.95*33.93 
Beaver Falls,PA*80.33*40.75 
Beckley,WV*81.12*37.78 
Bedford,MA*71.28*42.47 
Bellingham,WA*122.53*48.80 
Bemidji Muni,MN*94.93*47.50 
Benton Harbor,MI*86.43*42.13 
Bergstrom Af,TX*97.68*30.20 
Berlin,NH*71.18*44.58 
Bethel Arpt,AK*161.80*60.78 
Bettles,AK*151.52*66.92 
Beverly,MA*70.92*42.58 
Bicycle Lk,CA*116.62*35.28 
Big Bear Apt,CA*116.68*34.27 
Big Delta,AK*145.73*64.00 
Big Piney,WY*110.10*42.57 
Big River Lk,AK*152.30*60.82 
Big Sky,TX*101.48*32.39 
Big Spring,TX*101.45*32.30 
Billings,MT*108.53*45.80 
Binghamton,NY*75.98*42.22 
Birmingham,AL*86.75*33.57 
Bishop,CA*118.60*37.60 
Bismarck,ND*100.75*46.77 
Bistate Park,IL*90.15*38.57 
Blairsville,PA*79.09*40.27 
Blanding,UT*109.78*38.03 
Block Island,RI*71.58*41.17 
Bloomington,IL*88.93*40.48 
Bloomington,IN*86.62*39.13 
Blue Canyon,CA*120.70*39.28 
Bluefield,WV*81.22*37.30 
Blythe,CA*114.72*33.62 
Blytheville,AR*89.95*35.97 
Boise,ID*116.22*43.57 
Boothville,LA*89.67*29.55 
Boston,MA*71.03*42.37 
Bowling Gren,KY*86.43*36.97 
Bozeman,MT*111.15*45.78 
Bradford,IL*89.60*41.16 
Bradford,PA*78.63*41.80 
Brainerd-Crw,MN*94.13*46.40 
Bremerton,WA*122.77*47.48 
Bridgeport,CT*73.13*41.17 
Bristol,TN*82.40*36.48 
Brmfield/Jef,CO*105.12*39.90 
Broadus,MT*105.67*45.67 
Broken Bow,NE*99.65*41.43 
Brookings,OR*124.47*42.08 
Brookings,SD*96.80*44.30 
Brownsville,TX*97.43*25.90 
Brownwood,TX*98.96*31.79 
Brunswick,GA*81.38*31.15 
Brunswick,ME*69.93*43.88 
Buckley,CO*104.75*39.72 
Buffalo,NY*78.73*42.93 
Bullfrog Mar,UT*110.70*37.50 
Burbank,CA*118.37*34.20 
Burley,ID*113.77*42.53 
Burlington,IA*91.12*40.78 
Burlington,VT*73.15*44.47 
Burlington,WA*122.33*48.50 
Burns Arpt,OR*118.95*43.60 
Burwell,NE*99.15*41.78 
Butte,MT*112.50*45.95 
Cairo,IL*89.22*37.07 
Caliente,NV*114.52*37.62 
Camden,AR*92.40*33.52 
Cameron Heli,LA*93.30*29.78 
Camp Pendlet,CA*117.35*33.30 
Campo,CA*116.47*32.62 
Cannon,NM*103.32*34.38 
Canton,OH*81.43*40.92 
Cantwell,AK*148.95*63.38 
Cape Blanco,OR*124.95*43.38 
Cape Canaveral,FL*80.55*28.47 
Cape Cod Can,MA*70.50*41.78 
Cape Decis,AK*134.22*56.00 
Cape Hattera,NC*75.55*35.27 
Cape Hinchi,AK*147.08*60.38 
Cape Spence,AK*137.05*58.33 
Cape St Eli,AK*145.00*60.33 
Carbondale,IL*89.25*37.78 
Caribou Mun,ME*68.02*46.87 
Carlsbad,CA*117.28*33.13 
Carlsbad,NM*104.27*32.33 
Carswell AFB,TX*97.43*32.78 
Cascade,OR*121.88*45.68 
Casper,WY*106.47*42.92 
Castle AFB,CA*120.57*37.38 
Cecil,FL*81.88*30.22 
Cedar City,UT*113.10*37.70 
Cedar Rapids,IA*91.70*41.88 
Centralia,IL*89.09*38.51 
Centreville,AL*87.25*32.90 
Chadron,NE*103.08*42.83 
Challis,ID*114.22*44.52 
Chamberlain,SD*99.32*43.80 
Champaign/Urbana,IL*88.28*40.03 
Chandalar Lk,AK*148.48*67.50 
Chanute,KS*95.48*37.67 
Charleston,SC*80.03*32.90 
Charleston,WV*81.60*38.37 
Charlotte,NC*80.93*35.22 
Charlottesvi,VA*78.45*38.13 
Chase NAS,TX*97.67*28.37 
Chatham,MA*69.97*41.67 
Chattanooga,TN*85.20*35.03 
Cherry Point,NC*76.88*34.90 
Chesapeake,VA*76.20*37.50 
Cheyenne,WY*104.82*41.15 
Chicago,IL*87.65*41.90 
Chicago/Meigs,IL*87.62*41.87 
Chicago/Midway,IL*87.75*41.78 
Chicago/O'hare,IL*87.90*41.98 
Chico,CA*121.85*39.78 
Childress,TX*100.28*34.43 
China Lake,CA*117.68*35.68 
Chino,CA*117.63*33.97 
Chippewa,MI*84.47*46.25 
Chulitna,AK*149.83*62.88 
Cincinnati,OH*84.43*39.10 
Circle City,AK*144.07*65.83 
Claiborne R,LA*92.95*31.22 
Clarksburg,WV*80.23*39.28 
Clarksville,TN*87.42*36.62 
Clayton Arpt,NM*103.15*36.45 
Cleveland,OH*81.48*41.57 
Clinton,OK*99.20*35.35 
Cody,WY*109.02*44.52 
Coeur d'Alene,ID*116.82*47.77 
Col. J Jabar,KS*97.22*37.75 
Cold Bay,AK*162.72*55.20 
College Stn,TX*96.37*30.58 
